domain,ablation_mode,acc_mean,acc_std,abst_mean,hall_mean,cons_mean,learn_mean,learnN_mean,note_len_mean,explainQ_mean,learn_full,learn_drop_vs_full
linear_regression,full,0.8000000000000002,0.0,0.20000000000000004,0.0,0.8000000000000002,1.6000000000000003,0.8666666666666666,601.0,1.0,1.6000000000000003,0.0
linear_regression,no_child,0.6,0.0,0.20000000000000004,0.20000000000000004,0.6000000000000002,1.0,0.6666666666666666,508.0,0.0,1.6000000000000003,0.6000000000000003
linear_regression,no_memory,0.8000000000000002,0.0,0.20000000000000004,0.0,0.8000000000000002,1.6000000000000003,0.8666666666666666,601.0,1.0,1.6000000000000003,0.0
linear_regression,no_mistake,0.8000000000000002,0.0,0.0,0.20000000000000004,0.8000000000000002,1.3999999999999997,0.8000000000000002,587.0,1.0,1.6000000000000003,0.20000000000000062
linear_regression,no_revision,0.6,0.0,0.4000000000000001,0.0,0.6000000000000002,1.2,0.7333333333333333,646.0,0.0,1.6000000000000003,0.40000000000000036
linear_regression,no_steps,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,336.0,0.0,1.6000000000000003,1.6000000000000003
math,full,0.8000000000000002,0.0,0.0,0.20000000000000004,0.6,1.2,0.7333333333333333,538.0,1.0,1.2,0.0
math,no_child,0.6,0.0,0.0,0.4000000000000001,0.4000000000000001,0.6,0.5333333333333333,445.0,0.0,1.2,0.6
math,no_memory,0.8000000000000002,0.0,0.0,0.20000000000000004,0.6,1.2,0.7333333333333333,538.0,1.0,1.2,0.0
math,no_mistake,0.8000000000000002,0.0,0.0,0.20000000000000004,0.6,1.2,0.7333333333333333,524.0,1.0,1.2,0.0
math,no_revision,0.6,0.0,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.8000000000000002,0.5999999999999999,583.0,0.0,1.2,0.3999999999999998
math,no_steps,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,273.0,0.0,1.2,1.2
qa,full,1.0,0.0,0.4000000000000001,0.0,0.8000000000000002,1.8,0.9333333333333332,538.0,1.0,1.8,0.0
qa,no_child,0.8000000000000002,0.0,0.4000000000000001,0.20000000000000004,0.6,1.2,0.7333333333333333,445.0,0.0,1.8,0.6000000000000001
qa,no_memory,1.0,0.0,0.4000000000000001,0.0,0.8000000000000002,1.8,0.9333333333333332,538.0,1.0,1.8,0.0
qa,no_mistake,0.6,0.0,0.0,0.4000000000000001,0.4000000000000001,0.6,0.5333333333333333,524.0,1.0,1.8,1.2000000000000002
qa,no_revision,0.6,0.0,0.8000000000000002,0.0,0.6000000000000002,1.2,0.7333333333333333,583.0,0.0,1.8,0.6000000000000001
qa,no_steps,0.4000000000000001,0.0,1.0,0.0,1.0000000000000002,1.4000000000000001,0.8000000000000002,273.0,0.0,1.8,0.3999999999999999
